country,year,demo_score,gdp
China,1851,-6,975
China,1852,-6,1017
China,1853,-6,1011
China,1854,-6,991
China,1855,-6,984
China,1856,-6,1013
China,1857,-6,999
China,1858,-6,1029
China,1859,-6,1007
China,1860,-6,1023
China,1861,-6,1044
China,1862,-6,1074
China,1863,-6,1095
China,1864,-6,1098
China,1865,-6,1066
China,1866,-6,1087
China,1867,-6,1087
China,1868,-6,1113
China,1869,-6,1101
China,1870,-6,1099
China,1871,-6,1084
China,1872,-6,1090
China,1873,-6,1057
China,1874,-6,1000
China,1875,-6,1026
China,1876,-6,1061
China,1877,-6,1001
China,1878,-6,1014
China,1879,-6,1031
China,1880,-6,1015
China,1881,-6,1011
China,1882,-6,1003
China,1883,-6,1005
China,1884,-6,977
China,1885,-6,974
China,1886,-6,959
China,1887,-6,940
China,1888,-6,945
China,1889,-6,955
China,1890,-6,918
China,1891,-6,933
China,1892,-6,916
China,1893,-6,921
China,1894,-6,911
China,1895,-6,940
China,1896,-6,895
China,1897,-6,904
China,1898,-6,876
China,1899,-6,882
China,1900,-6,894
China,1901,-6,893
China,1902,-6,922
China,1903,-6,916
China,1904,-6,936
China,1905,-6,856
China,1906,-6,898
China,1907,-6,917
China,1908,-6,945
China,1909,-6,956
China,1910,-6,991
China,1911,-2,983
China,1912,2,938
China,1913,-2,936
China,1914,-5,946
China,1915,-5,957
China,1916,-5,968
China,1917,-5,979
China,1918,-5,990
China,1919,-5,1001
China,1920,-5,1012
China,1921,-5,1017
China,1922,-5,1021
China,1923,-5,1026
China,1924,-5,1031
China,1925,-5,1035
China,1926,-5,1040
China,1927,-5,1045
China,1928,-5,1050
China,1929,-5,1054
China,1930,-5,1055
China,1931,-5,1048
China,1932,-5,1064
China,1933,-5,1047
China,1934,-5,942
China,1935,-5,1004
China,1936,-5,1052
China,1937,-10,1012
China,1938,-10,973
China,1939,-10,905
China,1940,-10,841
China,1941,-10,782
China,1942,-10,727
China,1943,-10,676
China,1944,-10,629
China,1945,-10,585
China,1946,-5,570
China,1947,-5,556
China,1948,-5,542
China,1949,-8,529
China,1950,-8,535
China,1951,-8,582
China,1952,-8,631
China,1953,-8,692
China,1954,-8,694
China,1955,-8,706
China,1956,-8,736
China,1957,-8,780
China,1958,-8,889
China,1959,-8,958
