"","X","X1972..YR1972.","X1973..YR1973.","X1974..YR1974.","X1975..YR1975.","X1976..YR1976.","X1977..YR1977.","X1978..YR1978.","X1979..YR1979.","X1980..YR1980.","X1981..YR1981.","X1982..YR1982.","X1983..YR1983.","X1984..YR1984.","X1985..YR1985.","X1986..YR1986.","X1987..YR1987.","X1988..YR1988.","X1989..YR1989.","X1990..YR1990.","X1991..YR1991.","X1992..YR1992.","X1993..YR1993.","X1994..YR1994.","X1995..YR1995.","X1996..YR1996.","X1997..YR1997.","X1998..YR1998.","X1999..YR1999.","X2000..YR2000.","X2001..YR2001.","X2002..YR2002.","X2003..YR2003.","X2004..YR2004.","X2005..YR2005.","X2006..YR2006.","X2007..YR2007.","Country.Name","Series.Code","Series.Name"
"141",188177,4664739,4795926,4931095,5070583,5214731,5363565,5516743,5673727,5834248,5998722,6167768,6341634,6520599,6705210,6895733,7093264,7300220,7519642,7753907,8004058,8270248,8552812,8851763,9167078,9499605,9849621,10215806,10596258,10989815,11396434,11817297,12254040,12708897,13183798,13679705,14197289,"Niger","SP.POP.TOTL","Population (Total)"
"142",189514,58829321,60285455,61857025,63565601,65426979,67425439,69512236,71619219,73698099,75729574,77729805,79729313,81775217,83901572,86118046,88412920,90773617,93179760,95617350,98085373,100592242,103144749,105752796,108424827,111166210,113979481,116867371,119831888,122876727,126004992,129224641,132550146,135999250,139585891,143314909,147187353,"Nigeria","SP.POP.TOTL","Population (Total)"
"143",190851,14142,14605,14978,15232,15316,15293,15390,15906,17048,18906,21393,24308,27363,30341,33173,35904,38570,41243,43972,46719,49429,52120,54817,57518,60248,62939,65374,67271,68434,68817,68499,67562,66143,64372,62235,59792,"Northern Mariana Islands","SP.POP.TOTL","Population (Total)"
"144",192188,3933004,3960612,3985258,4007313,4026152,4043205,4058671,4072517,4085620,4099702,4114787,4128432,4140099,4152516,4167354,4186905,4209488,4226901,4241473,4261732,4286401,4311991,4336613,4359184,4381336,4405157,4431464,4461913,4490967,4513751,4538159,4564855,4591910,4623291,4660677,4709153,"Norway","SP.POP.TOTL","Population (Total)"
"145",193525,776379,806989,841947,882044,927433,977788,1032772,1091831,1154375,1220512,1289842,1360637,1430680,1498416,1562144,1622123,1681070,1742950,1810103,1885036,1965586,2043912,2109246,2154600,2175998,2177723,2171135,2172287,2192535,2239025,2308409,2389121,2464001,2522325,2554905,2569739,"Oman","SP.POP.TOTL","Population (Total)"
"146",194862,62532284,64299241,66167072,68155252,70268556,72505126,74868889,77362155,79984297,82733080,85601555,88577077,91643160,94783463,97998462,101278129,104583470,107865403,111090879,114229172,117291344,120336722,123450933,126689577,130083700,133597492,137139290,140580398,143832014,146857081,149693684,152419974,155151394,157971415,160905794,163928329,"Pakistan","SP.POP.TOTL","Population (Total)"
"147",196199,11853,12045,12195,12280,12284,12225,12151,12127,12197,12383,12667,13015,13371,13698,13982,14237,14485,14762,15089,15471,15894,16345,16805,17255,17695,18123,18524,18878,19174,19404,19575,19700,19805,19907,20012,20118,"Palau","SP.POP.TOTL","Population (Total)"
"148",197536,1614985,1660811,1707114,1753706,1800516,1847552,1894807,1942304,1990062,2038073,2086331,2134880,2183773,2233064,2282798,2333008,2383722,2434964,2486776,2539140,2592117,2645922,2700823,2757004,2814525,2873288,2933100,2993685,3054812,3116409,3178450,3240805,3303335,3365929,3428509,3491034,"Panama","SP.POP.TOTL","Population (Total)"
"149",198873,2576093,2652585,2730859,2809692,2888510,2967620,3047769,3130125,3215483,3304188,3395798,3489402,3583707,3677854,3771592,3865448,3960314,4057467,4157903,4261797,4369087,4480243,4595761,4715929,4841020,4970823,5104516,5240941,5379226,5518971,5660267,5803302,5948461,6095959,6245797,6397623,"Papua New Guinea","SP.POP.TOTL","Population (Total)"
"150",200210,2608887,2671997,2737152,2805232,2876352,2950552,3028542,3111140,3198848,3291955,3390101,3492295,3597135,3703512,3811042,3919708,4029203,4139286,4249747,4360358,4470934,4581390,4691695,4801834,4911701,5021271,5130723,5240321,5350253,5460621,5571371,5682350,5793330,5904170,6014781,6125285,"Paraguay","SP.POP.TOTL","Population (Total)"
"151",201547,13953601,14347881,14751618,15164288,15585924,16015737,16451352,16889710,17328542,17766418,18203502,18641054,19081183,19525200,19973258,20424055,20875714,21325690,21772035,22213359,22649612,23081735,23511358,23939261,24365985,24789855,25206817,25611482,26000080,26372358,26729909,27073334,27403845,27723281,28030688,28328410,"Peru","SP.POP.TOTL","Population (Total)"
