"","country","year","demo_score"
"755","Australia","1993",10
"756","Australia","1994",10
"757","Australia","1995",10
"758","Australia","1996",10
"759","Australia","1997",10
"760","Australia","1998",10
"761","Australia","1999",10
"762","Australia","2000",10
"763","Australia","2001",10
"764","Australia","2002",10
"765","Australia","2003",10
"766","Australia","2004",10
"767","Australia","2005",10
"768","Australia","2006",10
"769","Australia","2007",10
"770","Australia","2008",10
"771","Australia","2009",10
"772","Australia","2010",10
"773","Australia","2011",10
"774","Austria","1800",-10
"775","Austria","1801",-10
"776","Austria","1802",-10
"777","Austria","1803",-10
"778","Austria","1804",-10
"779","Austria","1805",-10
"780","Austria","1806",-10
"781","Austria","1807",-10
"782","Austria","1808",-10
"783","Austria","1809",-10
"784","Austria","1810",-10
"785","Austria","1811",-10
"786","Austria","1812",-10
"787","Austria","1813",-10
"788","Austria","1814",-10
"789","Austria","1815",-10
"790","Austria","1816",-10
"791","Austria","1817",-10
"792","Austria","1818",-10
"793","Austria","1819",-10
"794","Austria","1820",-10
"795","Austria","1821",-10
"796","Austria","1822",-10
"797","Austria","1823",-10
"798","Austria","1824",-10
"799","Austria","1825",-10
"800","Austria","1826",-10
"801","Austria","1827",-10
"802","Austria","1828",-10
"803","Austria","1829",-10
"804","Austria","1830",-10
"805","Austria","1831",-10
"806","Austria","1832",-10
"807","Austria","1833",-10
"808","Austria","1834",-10
"809","Austria","1835",-10
"810","Austria","1836",-10
"811","Austria","1837",-10
"812","Austria","1838",-10
"813","Austria","1839",-10
"814","Austria","1840",-10
"815","Austria","1841",-10
"816","Austria","1842",-10
"817","Austria","1843",-10
"818","Austria","1844",-10
"819","Austria","1845",-10
"820","Austria","1846",-10
"821","Austria","1847",-10
"822","Austria","1848",-6
"823","Austria","1849",-6
"824","Austria","1850",-6
"825","Austria","1851",-6
"826","Austria","1852",-6
"827","Austria","1853",-6
"828","Austria","1854",-6
"829","Austria","1855",-6
"830","Austria","1856",-6
"831","Austria","1857",-6
"832","Austria","1858",-6
"833","Austria","1859",-6
"834","Austria","1860",-6
"835","Austria","1861",-4
"836","Austria","1862",-4
"837","Austria","1863",-4
"838","Austria","1864",-4
"839","Austria","1865",-4
"840","Austria","1866",-4
"841","Austria","1867",-4
"842","Austria","1868",-4
"843","Austria","1869",-4
"844","Austria","1870",-4
"845","Austria","1871",-4
"846","Austria","1872",-4
"847","Austria","1873",-4
"848","Austria","1874",-4
"849","Austria","1875",-4
"850","Austria","1876",-4
"851","Austria","1877",-4
"852","Austria","1878",-4
"853","Austria","1879",-4
"854","Austria","1880",-4
"855","Austria","1881",-4
"856","Austria","1882",-4
"857","Austria","1883",-4
"858","Austria","1884",-4
"859","Austria","1885",-4
"860","Austria","1886",-4
"861","Austria","1887",-4
"862","Austria","1888",-4
"863","Austria","1889",-4
"864","Austria","1890",-4
"865","Austria","1891",-4
